handle,official_full,quartile,party_code,pct_small_donors,tweet_count,avg_sentiment,sentiment_std,pct_negative,pct_positive,pct_extreme,avg_anger,avg_fear,avg_joy,avg_disgust,avg_sadness
RepRonEstes,Ron Estes,Q1 (lowest),R,0.75,733,0.19817860719289168,0.7106501360592798,0.286493860845839,0.4693042291950887,0.5061391541609823,0.10300825699645448,0.14554386557387006,0.32988444118303756,0.03425726520020582,0.0808942273446888
RepMichaelGuest,Michael Guest,Q1 (lowest),R,0.78,442,0.1994520619983587,0.6692297564011473,0.2239819004524887,0.4276018099547511,0.46153846153846156,0.09262076496174006,0.10607522112271024,0.26474029053178005,0.054297203205351204,0.06997520600000974
RepLaurelLee,Laurel M. Lee,Q1 (lowest),R,1.52,784,0.21114809662863918,0.6498764682932797,0.21045918367346939,0.42346938775510207,0.4375,0.07887764410414237,0.28198872573720646,0.2559641776717807,0.02200744024087591,0.05506095341694826
RepMann,Tracey Mann,Q1 (lowest),R,0.73,275,0.21487884413112293,0.7128091015984485,0.29454545454545455,0.5163636363636364,0.48727272727272725,0.15238671072970394,0.16012247658588663,0.30259902969986957,0.04349095200151412,0.05014005838512354
RepDaleStrong,Dale W. Strong,Q1 (lowest),R,1.17,482,0.2236648752852594,0.6956859683794371,0.23858921161825727,0.4605809128630705,0.5311203319502075,0.10572502824743042,0.20622663932013868,0.31708419327665194,0.05457862838251363,0.05318699728531364
RepMaxineWaters,Maxine Waters,Q1 (lowest),D,1.15,154,0.22621254777753508,0.7742887028297072,0.3246753246753247,0.538961038961039,0.6103896103896104,0.14536580336832,0.13300264190750904,0.31741274287489496,0.030380412999048402,0.1474768217447419
RepJohnJoyce,John Joyce,Q1 (lowest),R,0.26,693,0.22763875931028335,0.7174326010159797,0.27705627705627706,0.5021645021645021,0.5353535353535354,0.08097245334580397,0.15443455091548924,0.2926429173175694,0.04223615313126885,0.08539971434608673
RepLarryBucshon,Larry Bucshon,Q1 (lowest),R,0.11,553,0.23937818289449805,0.6916732621237897,0.25316455696202533,0.5063291139240507,0.5009041591320073,0.09068620547277101,0.16661967588055987,0.28772980483053257,0.052220244803787945,0.08405889560229343
RepDLamborn,Doug Lamborn,Q1 (lowest),R,1.29,820,0.247489152412589,0.6682691267935835,0.22073170731707317,0.4682926829268293,0.474390243902439,0.09473875881777505,0.20858439638228976,0.30585615746680467,0.03472053343107175,0.06092920976182691
RepRutherfordFL,John H. Rutherford,Q1 (lowest),R,0.34,685,0.25236177801215737,0.6907895243580147,0.24233576642335766,0.5007299270072992,0.5226277372262774,0.14212182618874752,0.2322293622220397,0.3223304001332335,0.021936784092703086,0.09005557011292877
