Name,Total Raised,Total from Small Donors,Percent from Small Donors*,total money raised,party_code,party_full,Total Raised_num,Total from Small Donors_num,pct_small_donors,clean_name,match_score,match_method,first,last,official_full,party,chamber,state,bioguide,twitter,quartile,sample_method,handle_lower,nominate_dim1,nominate_dim2,nokken_poole_dim1,nokken_poole_dim2,nominate_number_of_votes,nominate_abs,state_abbrev,district_code,margin_of_victory,competitive,winner_share,total_votes,terms_served,is_female,age_in_2024
McClainLisa McClain (R),$1029112,$215130,20.90%,Raised over $100k,R,Republican,1029112,215130,20.9,Lisa McClain,88.9,auto,Lisa,McClain,Lisa C. McClain,Republican,rep,MI,M001136,RepLisaMcClain,Q4 (highest),full_house,replisamcclain,0.548,0.171,0.543,0.167,1085.0,0.548,MI,9.0,37.25776207825935,0.0,66.75942576211243,468238.0,3.0,1,58.0
SpanbergerAbigail Spanberger (D),$1723491,$359003,20.83%,Raised over $100k,D,Democrat,1723491,359003,20.83,Abigail Davis Spanberger,100.0,manual,,,Abigail Davis Spanberger,Democrat,rep,VA,S001209,RepSpanberger,Q4 (highest),full_house,repspanberger,-0.196,0.3,-0.252,0.245,1109.0,0.196,VA,7.0,2.6400771207579226,1.0,51.17959018270874,397299.0,,0,45.0
LeeSummer Lee (D),$2923335,$587574,20.10%,Raised over $100k,D,Democrat,2923335,587574,20.1,Summer Lee,87.0,auto,Summer,Lee,Summer L. Lee,Democrat,rep,PA,L000602,RepSummerLee,Q4 (highest),full_house,repsummerlee,-0.414,-0.91,-0.739,-0.674,1119.0,0.414,PA,12.0,12.823740834350403,0.0,56.4118704171752,416228.0,2.0,1,37.0
GoodBob Good (R),$1328803,$262684,19.77%,Raised over $100k,R,Republican,1328803,262684,19.77,Bob Good,100.0,manual,,,Bob Good,Republican,rep,VA,G000595,RepBobGood,Q4 (highest),full_house,repbobgood,0.8,-0.6,0.767,-0.642,1094.0,0.8,VA,5.0,14.990627272914999,0.0,57.260593934916336,435839.0,,0,59.0
TenneyClaudia Tenney (R),$2993079,$589942,19.71%,Raised over $100k,R,Republican,2993079,589942,19.71,Claudia Tenney,100.0,auto,Claudia,Tenney,Claudia Tenney,Republican,rep,NY,T000478,RepTenney,Q4 (highest),full_house,reptenney,0.464,0.018,0.488,0.035,1110.0,0.464,NY,24.0,22.10571875717517,0.0,54.65082829477107,378911.0,4.0,1,63.0
OwensBurgess Owens (R),$1449406,$285518,19.70%,Raised over $100k,R,Republican,1449406,285518,19.7,Burgess Owens,100.0,auto,Clarence,Owens,Burgess Owens,Republican,rep,UT,O000086,RepBurgessOwens,Q4 (highest),full_house,repburgessowens,0.452,0.168,0.443,0.123,1113.0,0.452,UT,4.0,33.214085374572406,0.0,63.41690772902757,363668.0,3.0,0,73.0
WextonJennifer Wexton (D),$480029,$94333,19.65%,Raised over $100k,D,Democrat,480029,94333,19.65,Jennifer Wexton,100.0,manual,,,Jennifer Wexton,Democrat,rep,VA,W000825,RepWexton,Q4 (highest),full_house,repwexton,-0.384,0.302,-0.418,0.177,919.0,0.384,VA,10.0,4.549020367446957,1.0,52.088317046478075,413012.0,,0,56.0
MassieThomas Massie (R),$1323139,$257098,19.43%,Raised over $100k,R,Republican,1323139,257098,19.43,Thomas Massie,100.0,auto,Thomas,Massie,Thomas Massie,Republican,rep,KY,M001184,RepThomasMassie,Q4 (highest),full_house,repthomasmassie,0.662,-0.75,0.606,-0.796,1021.0,0.662,KY,4.0,99.19074689553767,0.0,99.59537344776884,279517.0,8.0,0,53.0
DuncanJeff Duncan (R),$784969,$146993,18.73%,Raised over $100k,R,Republican,784969,146993,18.73,Jeff Duncan,100.0,manual,,,Jeff Duncan,Republican,rep,SC,D000615,RepJeffDuncan,Q4 (highest),full_house,repjeffduncan,0.695,-0.095,0.651,-0.176,1095.0,0.695,SC,3.0,46.35418919971273,0.0,71.6589801939933,346713.0,,0,58.0
WagnerAnn Wagner (R),$4213631,$770676,18.29%,Raised over $100k,R,Republican,4213631,770676,18.29,Ann Wagner,100.0,auto,Ann,Wagner,Ann Wagner,Republican,rep,MO,W000812,RepAnnWagner,Q4 (highest),full_house,repannwagner,0.391,0.301,0.349,0.362,1099.0,0.391,MO,2.0,11.99555547255784,0.0,54.493081103288574,428392.0,7.0,1,62.0
