screen_name,followers,following,tweets_count,verified,created_at
RepBost,24911,1926,5134,True,Tue Jan 06 19:55:08 +0000 2015
TomColeOK04,42088,287,3728,True,Fri Mar 06 21:54:25 +0000 2009
RepBonnie,47645,1315,14253,True,Thu Jan 08 20:18:16 +0000 2015
RepAndreCarson,62367,1011,7708,True,Wed Oct 06 15:47:50 +0000 2010
reptimkennedy,13146,1860,6847,True,Mon Nov 29 23:21:06 +0000 2010
CongressmanKean,9457,618,2962,True,Mon Dec 26 17:07:11 +0000 2022
repbrecheen,19901,500,2884,True,Wed Dec 14 14:21:42 +0000 2022
RepLaHood,27227,1380,5443,True,Thu Sep 17 14:16:48 +0000 2015
RepPeteAguilar,45073,719,3672,True,Wed Feb 04 21:01:23 +0000 2015
RepJohnLarson,40879,926,11981,True,Wed Jun 24 21:47:31 +0000 2009
RepChuyGarcia,43501,2823,11506,True,Tue Jan 08 00:04:27 +0000 2019
NydiaVelazquez,80488,5744,13625,True,Thu Jul 08 18:18:20 +0000 2010
RepAdamSmith,45503,2029,12733,True,Tue Jul 21 21:31:55 +0000 2009
RepRobinKelly,39014,9459,10124,True,Tue Apr 09 19:02:01 +0000 2013
RepStricklandWA,9111,969,4130,True,Mon Dec 28 19:54:50 +0000 2020
RepBuddyCarter,47612,497,7176,True,Mon Jan 12 00:33:43 +0000 2015
RepDianaDeGette,63471,8981,8171,True,Fri Apr 03 16:41:06 +0000 2009
BobbyScott,42588,3147,11131,True,Thu Jul 01 19:57:00 +0000 2010
RepRitchie,51000,1148,4385,True,Fri Jun 26 06:36:14 +0000 2020
RepLangworthy,10677,1021,3221,True,Fri Jan 06 16:15:42 +0000 2023
RepWebster,32163,349,5594,True,Wed Apr 13 13:47:05 +0000 2011
RepRussellFry,20989,923,2331,True,Thu Dec 15 22:17:07 +0000 2022
repkeithself,64995,816,4385,True,Mon Jan 09 12:47:15 +0000 2023
RepJimmyPanetta,23726,666,12737,True,Thu Nov 10 15:29:45 +0000 2016
RepMikeRulli,6,3,2,False,Tue Jun 18 11:16:45 +0000 2024
RepLaMalfa,31205,1062,3557,True,Mon Jan 07 20:07:58 +0000 2013
RepAlGreen,120449,700,4384,True,Wed Jun 16 17:20:23 +0000 2010
RepHorsford,29248,1993,10899,True,Thu Oct 13 02:23:25 +0000 2011
RepBlaine,20682,486,3800,False,Mon Sep 09 19:53:08 +0000 2013
WhipKClark,151016,1984,13520,True,Wed Jan 15 18:53:47 +0000 2014
RepNikema,23882,944,6386,True,Sat Jan 02 20:08:08 +0000 2021
RepJudyChu,78042,40852,11239,True,Wed Sep 22 15:18:17 +0000 2010
RepJoeMorelle,16533,892,9321,True,Mon Nov 19 19:07:18 +0000 2018
RepKevinMullin,6721,450,1391,True,Tue Jan 03 23:06:16 +0000 2023
RepGonzalez,14517,575,5560,True,Mon Jan 09 19:13:21 +0000 2017
RepMikeCarey,6539,472,2542,True,Mon Nov 08 16:21:58 +0000 2021
RepYvetteClarke,76428,3802,17512,True,Thu Jan 20 20:14:21 +0000 2011
RepFranklin,13962,507,2895,True,Mon Dec 28 21:06:58 +0000 2020
RepTedLieu,182404,5511,11778,True,Thu Feb 19 20:08:54 +0000 2015
RepDavid,39687,838,7159,True,Tue Dec 21 19:48:02 +0000 2010
RepGwenMoore,44807,3150,14224,True,Tue Mar 03 20:02:57 +0000 2009
RepRickAllen,29849,454,4708,True,Tue Jan 06 14:45:18 +0000 2015
RepCarbajal,18995,1051,8990,True,Tue Jan 03 05:42:06 +0000 2017
RepChuckEdwards,7119,324,2427,True,Tue Dec 13 19:36:07 +0000 2022
RepMGriffith,37575,682,3846,True,Tue Jan 04 19:05:24 +0000 2011
Rep_SteveWomack,34837,1997,13353,True,Wed Jan 05 18:53:03 +0000 2011
RepMarkAlford,17275,443,5279,True,Mon Jan 09 16:17:35 +0000 2023
SanfordBishop,25688,794,3416,True,Wed Feb 09 00:23:10 +0000 2011
Rep_Magaziner,17082,560,3486,False,Tue Jan 17 21:05:16 +0000 2023
RepDavidValadao,24854,516,3367,True,Mon Jan 28 16:19:14 +0000 2013
RepDonBacon,92988,464,36931,True,Wed Jan 11 00:17:40 +0000 2017
RepNateMoran,12276,795,1835,True,Thu Dec 15 19:22:32 +0000 2022
CongressmanGT,29308,2864,9011,True,Wed Jan 14 04:54:58 +0000 2009
RepDwightEvans,21320,3409,40867,True,Tue Nov 17 14:25:20 +0000 2009
RepFletcher,31443,193,5967,True,Fri Dec 21 00:02:47 +0000 2018
RepLaLota,10619,300,3363,True,Fri Nov 04 17:17:19 +0000 2022
RepGaramendi,34695,6551,18518,True,Tue Nov 10 00:31:12 +0000 2009
RepEzell,5985,470,1194,True,Tue Dec 13 22:10:44 +0000 2022
DorisMatsui,41698,8413,6429,True,Wed May 06 19:20:50 +0000 2009
RepNewhouse,26834,1047,6440,True,Thu Dec 18 20:19:23 +0000 2014
RepGusBilirakis,40637,1101,10370,True,Mon Mar 23 17:56:32 +0000 2009
RepMoolenaar,25569,336,1592,True,Thu Jul 31 21:09:14 +0000 2014
VirginiaFoxx,52670,761,8594,True,Fri Sep 12 13:30:07 +0000 2008
RepPatFallon,83717,771,6600,True,Sun Dec 27 18:11:28 +0000 2020
VernBuchanan,36360,7137,6413,True,Mon Feb 09 21:05:19 +0000 2009
RepMaloyUtah,3216,239,838,True,Mon Jan 15 16:21:41 +0000 2024
RobWittman,34856,1891,9484,True,Tue Jul 08 18:25:49 +0000 2008
BennieGThompson,106551,592,6084,True,Wed Oct 14 20:47:03 +0000 2009
RepEscobar,83388,1791,11873,True,Wed Dec 19 22:26:42 +0000 2018
RepLoudermilk,56635,1587,5023,True,Wed Dec 10 18:53:17 +0000 2014
repkevinhern,30458,600,5036,True,Wed Nov 28 16:32:33 +0000 2018
RepStenyHoyer,144658,6291,28077,True,Thu Feb 26 14:13:01 +0000 2009
RepBarryMoore,24676,790,4263,True,Wed Dec 16 00:35:16 +0000 2020
RepSamGraves,17361,1128,9487,True,Wed Apr 08 17:20:43 +0000 2009
RepBeatty,69570,2206,15576,True,Wed Jun 19 17:47:09 +0000 2013
RepJuliaLetlow,13324,429,3278,True,Wed Apr 14 18:12:03 +0000 2021
RepMoylan,2767,191,193,True,Wed Dec 14 15:34:19 +0000 2022
RepSmucker,15626,589,8096,True,Wed May 20 18:31:13 +0000 2009
RepEdCase,11185,222,3942,True,Sat Jan 05 00:44:02 +0000 2019
RepBalderson,10002,740,3973,True,Wed Sep 05 14:07:50 +0000 2018
Robert_Aderholt,40244,589,3756,True,Tue Sep 22 21:16:37 +0000 2009
RepLloydDoggett,49946,1360,20119,True,Wed Jun 09 23:53:50 +0000 2010
USRepMikeFlood,14296,728,3362,True,Wed Jul 13 01:11:52 +0000 2022
RepLaurelLee,13677,483,2345,True,Wed Dec 28 22:40:34 +0000 2022
WarrenDavidson,88536,5497,15134,True,Tue Jun 14 15:08:44 +0000 2016
RepEspaillat,39271,2466,25705,True,Thu Jan 05 18:32:15 +0000 2017
TXRandy14,35190,1120,6651,True,Thu Jan 03 15:30:06 +0000 2013
RepHouchin,8360,311,2696,True,Fri Dec 16 10:12:12 +0000 2022
MikeKellyPA,33550,1480,5340,True,Thu Nov 08 20:31:21 +0000 2012
RepVinceFong,2432,329,994,True,Wed Jun 05 18:14:58 +0000 2024
RepDarrenSoto,25405,6147,13401,True,Tue Jan 10 06:57:55 +0000 2017
JudgeCarter,22637,1065,9487,True,Wed Dec 10 21:00:58 +0000 2008
RepGraceMeng,48730,692,10121,True,Mon Dec 31 20:28:41 +0000 2012
RepDaveJoyce,28776,2594,7425,True,Wed Nov 28 21:12:14 +0000 2012
RepLindaSanchez,46284,2443,9884,True,Mon Jun 06 16:50:45 +0000 2011
RepScottPeters,30051,1424,15317,True,Wed Jan 30 23:28:14 +0000 2013
RepDLamborn,34104,1292,7931,True,Fri May 18 16:01:17 +0000 2012
RepMikeQuigley,51567,2166,21843,True,Wed Jul 15 00:10:43 +0000 2009
RepWesterman,17899,392,8805,True,Fri Oct 31 03:57:48 +0000 2014
