"Name","Total Raised","Total from Small Donors","Percent from Small Donors*","total money raised"
"WydenRon Wyden (D)","$12628463","$664664","5.26%","Raised over $100k"
"SullivanDan Sullivan (R)","$8195523","$428391","5.23%","Raised over $100k"
"LanceLeonard Lance (R)","$1118097","$58319","5.22%","Raised over $100k"
"ThompsonMike Thompson (D)","$2036950","$104895","5.15%","Raised over $100k"
"HurdWill Hurd (R)","$4061685","$209102","5.15%","Raised over $100k"
"ClarkeYvette D Clarke (D)","$681231","$35041","5.14%","Raised over $100k"
"BoozmanJohn Boozman (R)","$4888821","$251442","5.14%","Raised over $100k"
"DonovanDan Donovan (R)","$1968168","$100173","5.09%","Raised over $100k"
"PortmanRob Portman (R)","$25428561","$1283080","5.05%","Raised over $100k"
"SwalwellEric Swalwell (D)","$1935517","$97183","5.02%","Raised over $100k"
"ScottBobby Scott (D)","$767331","$38505","5.02%","Raised over $100k"
"WalbergTim Walberg (R)","$2403861","$120074","5.00%","Raised over $100k"
"YoungTodd Young (R)","$10205343","$509028","4.99%","Raised over $100k"
"KatkoJohn Katko (R)","$2656070","$131376","4.95%","Raised over $100k"
"WalorskiJackie Walorski (R)","$1890177","$93231","4.93%","Raised over $100k"
"PoeTed Poe (R)","$832428","$40911","4.91%","Raised over $100k"
"KellyRobin Kelly (D)","$1098719","$53184","4.84%","Raised over $100k"
"DoggettLloyd Doggett (D)","$1061653","$50857","4.79%","Raised over $100k"
"YoungDavid Young (R)","$2492691","$118932","4.77%","Raised over $100k"
"PolisJared Polis (D)","$1383484","$65925","4.77%","Raised over $100k"
"BilirakisGus Bilirakis (R)","$1406331","$66954","4.76%","Raised over $100k"
"SchatzBrian Schatz (D)","$9841175","$466433","4.74%","Raised over $100k"
"GaramendiJohn Garamendi (D)","$1139600","$53641","4.71%","Raised over $100k"
"MarinoTom Marino (R)","$1093770","$51396","4.70%","Raised over $100k"
"CicillineDavid Cicilline (D)","$1505338","$70715","4.70%","Raised over $100k"
"DeLauroRosa DeLauro (D)","$1141323","$53494","4.69%","Raised over $100k"
"WaldenGreg Walden (R)","$3275202","$153046","4.67%","Raised over $100k"
"CornynJohn Cornyn (R)","$15900956","$739107","4.65%","Raised over $100k"
"BlumenauerEarl Blumenauer (D)","$1495563","$69057","4.62%","Raised over $100k"
"JollyDavid Jolly (R)","$1936036","$89179","4.61%","Raised over $100k"
"MooreShelley Moore Capito (R)","$7893562","$361113","4.57%","Raised over $100k"
"LowenthalAlan Lowenthal (D)","$721829","$32479","4.50%","Raised over $100k"
