"Name","Total Raised","Total from Small Donors","Percent from Small Donors*","total money raised"
"KildeeDan Kildee (D)","$1258893","$64239","5.10%","Raised over $100k"
"VanChris Van Hollen (D)","$8407893","$424602","5.05%","Raised over $100k"
"AdamsAlma Adams (D)","$714938","$34494","4.82%","Raised over $100k"
"DingellDebbie Dingell (D)","$1600135","$76307","4.77%","Raised over $100k"
"StantonGreg Stanton (D)","$2768921","$130327","4.71%","Raised over $100k"
"CarperTom Carper (D)","$1559477","$72302","4.64%","Raised over $100k"
"DeLauroRosa DeLauro (D)","$1717839","$79563","4.63%","Raised over $100k"
"BrownShontel Brown (D)","$1396913","$64413","4.61%","Raised over $100k"
"McCormickRichard McCormick (R)","$2168121","$98906","4.56%","Raised over $100k"
"CoonsChris Coons (D)","$8719861","$394545","4.52%","Raised over $100k"
"McIverLaMonica McIver (D)","$637119","$28827","4.52%","Raised over $100k"
"HimesJim Himes (D)","$2112633","$95194","4.51%","Raised over $100k"
"WassermanDebbie Wasserman Schultz (D)","$2865663","$127672","4.46%","Raised over $100k"
"McCollumBetty McCollum (D)","$1758278","$76391","4.34%","Raised over $100k"
"FrankelLois Frankel (D)","$1859626","$80239","4.31%","Raised over $100k"
"LankfordJames Lankford (R)","$7449710","$321182","4.31%","Raised over $100k"
"ClydeAndrew Clyde (R)","$561936","$24143","4.30%","Raised over $100k"
"CleaverEmanuel Cleaver (D)","$1384776","$59479","4.30%","Raised over $100k"
"MurkowskiLisa Murkowski (R)","$10964335","$468219","4.27%","Raised over $100k"
"HudsonRichard Hudson (R)","$3947101","$168431","4.27%","Raised over $100k"
"DavisDanny K Davis (D)","$818234","$34904","4.27%","Raised over $100k"
"WelchPeter Welch (D)","$5678073","$238536","4.20%","Raised over $100k"
"PlaskettStacey Plaskett (D)","$668165","$28070","4.20%","Raised over $100k"
"ThompsonMike Thompson (D)","$2423434","$100836","4.16%","Raised over $100k"
"BostMike Bost (R)","$3092672","$128100","4.14%","Raised over $100k"
"ColeTom Cole (R)","$5570716","$227840","4.09%","Raised over $100k"
"WatsonBonnie Watson Coleman (D)","$929386","$37879","4.08%","Raised over $100k"
"CarsonAndre Carson (D)","$820449","$32957","4.02%","Raised over $100k"
"KennedyTimothy Kennedy (D)","$2598886","$103941","4.00%","Raised over $100k"
"KeanThomas H Kean Jr. (R)","$5922881","$232027","3.92%","Raised over $100k"
"BrecheenJosh Brecheen (R)","$331851","$12860","3.88%","Raised over $100k"
"LaHoodDarin LaHood (R)","$3734144","$144062","3.86%","Raised over $100k"
"AguilarPete Aguilar (D)","$5808795","$223890","3.85%","Raised over $100k"
"LarsonJohn Larson (D)","$1522651","$58687","3.85%","Raised over $100k"
"GarciaJesus Garcia (D)","$798895","$30653","3.84%","Raised over $100k"
"VelazquezNydia Velazquez (D)","$464287","$17362","3.74%","Raised over $100k"
"SmithAdam Smith (D)","$1668647","$61281","3.67%","Raised over $100k"
"KellyRobin Kelly (D)","$1893899","$69494","3.67%","Raised over $100k"
"StricklandMarilyn Strickland (D)","$2048914","$74632","3.64%","Raised over $100k"
"HoevenJohn Hoeven (R)","$4567097","$165818","3.63%","Raised over $100k"
"CarterBuddy Carter (R)","$2581503","$93614","3.63%","Raised over $100k"
"DeGetteDiana DeGette (D)","$1090985","$39183","3.59%","Raised over $100k"
