Name,Total Raised,Total from Small Donors,Percent from Small Donors*,total money raised,party_code,party_full,Total Raised_num,Total from Small Donors_num,pct_small_donors,clean_name,match_score,match_method,first,last,official_full,party,chamber,state,bioguide,twitter
VanceJ D Vance (R),$17237583,$4872613,28.27%,Raised over $100k,R,Republican,17237583,4872613,28.27,J.D. Vance,100.0,manual,,,J.D. Vance,Republican,sen,OH,V000137,
CrowJason Crow (D),$2182039,$614488,28.16%,Raised over $100k,D,Democrat,2182039,614488,28.16,Jason Crow,100.0,auto,Jason,Crow,Jason Crow,Democrat,rep,CO,C001121,RepJasonCrow
PressleyAyanna Pressley (D),$1411509,$394610,27.96%,Raised over $100k,D,Democrat,1411509,394610,27.96,Ayanna Pressley,100.0,auto,Ayanna,Pressley,Ayanna Pressley,Democrat,rep,MA,P000617,RepPressley
JohnsonMike Johnson (R),$19065042,$5236369,27.47%,Raised over $100k,R,Republican,19065042,5236369,27.47,Mike Johnson,100.0,auto,Mike,Johnson,Mike Johnson,Republican,rep,LA,J000299,RepMikeJohnson
RayBen Ray Lujan (D),$11637120,$3163925,27.19%,Raised over $100k,D,Democrat,11637120,3163925,27.19,Ben Ray Luján,100.0,manual,,,Ben Ray Luján,Democrat,sen,NM,L000570,SenatorLujan
PerryScott Perry (R),$4471323,$1202185,26.89%,Raised over $100k,R,Republican,4471323,1202185,26.89,Scott Perry,100.0,auto,Scott,Perry,Scott Perry,Republican,rep,PA,P000605,RepScottPerry
ShaheenJeanne Shaheen (D),$20017666,$5344343,26.70%,Raised over $100k,D,Democrat,20017666,5344343,26.7,Jeanne Shaheen,100.0,auto,Jeanne,Shaheen,Jeanne Shaheen,Democrat,sen,NH,S001181,SenatorShaheen
JayapalPramila Jayapal (D),$2793025,$738280,26.43%,Raised over $100k,D,Democrat,2793025,738280,26.43,Pramila Jayapal,100.0,auto,Pramila,Jayapal,Pramila Jayapal,Democrat,rep,WA,J000298,RepJayapal
LuttrellMorgan Luttrell (R),$1861800,$491411,26.39%,Raised over $100k,R,Republican,1861800,491411,26.39,Morgan Luttrell,100.0,auto,Morgan,Luttrell,Morgan Luttrell,Republican,rep,TX,L000603,RepLuttrell
HuntWesley Hunt (R),$2760120,$719422,26.06%,Raised over $100k,R,Republican,2760120,719422,26.06,Wesley Hunt,100.0,auto,Wesley,Hunt,Wesley Hunt,Republican,rep,TX,H001095,RepWesleyHunt
JamesJohn James (R),$9477442,$2441780,25.76%,Raised over $100k,R,Republican,9477442,2441780,25.76,John James,100.0,auto,John,James,John James,Republican,rep,MI,J000307,RepJames
MurrayPatty Murray (D),$20331360,$5206827,25.61%,Raised over $100k,D,Democrat,20331360,5206827,25.61,Patty Murray,100.0,auto,Patty,Murray,Patty Murray,Democrat,sen,WA,M001111,PattyMurray
KimYoung Kim (R),$9067799,$2273294,25.07%,Raised over $100k,R,Republican,9067799,2273294,25.07,Young Kim,100.0,auto,Young,Kim,Young Kim,Republican,rep,CA,K000397,RepYoungKim
BennetMichael Bennet (D),$22125113,$5501310,24.86%,Raised over $100k,D,Democrat,22125113,5501310,24.86,Michael Bennet,90.3,auto,Michael,Bennet,Michael F. Bennet,Democrat,sen,CO,B001267,SenatorBennet
MarkeyEd Markey (D),$14024552,$3468332,24.73%,Raised over $100k,D,Democrat,14024552,3468332,24.73,Ed Markey,72.0,auto,Edward,Markey,Edward J. Markey,Democrat,sen,MA,M000133,SenMarkey
BuddTed Budd (R),$16254047,$3890366,23.93%,Raised over $100k,R,Republican,16254047,3890366,23.93,Ted Budd,100.0,auto,Ted,Budd,Ted Budd,Republican,sen,NC,B001305,RepTedBudd
WaltzMichael Waltz (R),$2791083,$661047,23.68%,Raised over $100k,R,Republican,2791083,661047,23.68,Michael Waltz,100.0,manual,,,Michael Waltz,Republican,rep,FL,W000823,
KaineTim Kaine (D),$21401882,$5065478,23.67%,Raised over $100k,D,Democrat,21401882,5065478,23.67,Tim Kaine,100.0,auto,Timothy,Kaine,Tim Kaine,Democrat,sen,VA,K000384,
GrassleyChuck Grassley (R),$10945190,$2587304,23.64%,Raised over $100k,R,Republican,10945190,2587304,23.64,Chuck Grassley,100.0,auto,Charles,Grassley,Chuck Grassley,Republican,sen,IA,G000386,ChuckGrassley
BurchettTim Burchett (R),$1229828,$287186,23.35%,Raised over $100k,R,Republican,1229828,287186,23.35,Tim Burchett,100.0,auto,Tim,Burchett,Tim Burchett,Republican,rep,TN,B001309,RepTimBurchett
KimAndy Kim (D),$12170781,$2839921,23.33%,Raised over $100k,D,Democrat,12170781,2839921,23.33,Andy Kim,100.0,auto,Andy,Kim,Andy Kim,Democrat,sen,NJ,K000394,
McClellanJennifer McClellan (D),$2694818,$628053,23.31%,Raised over $100k,D,Democrat,2694818,628053,23.31,Jennifer McClellan,92.3,auto,Jennifer,McClellan,Jennifer L. McClellan,Democrat,rep,VA,M001227,RepMcClellan
LeeBarbara Lee (D),$5473994,$1272567,23.25%,Raised over $100k,D,Democrat,5473994,1272567,23.25,Barbara Lee,100.0,manual,,,Barbara Lee,Democrat,rep,CA,L000551,
GarciaRobert Garcia (D),$1326793,$292761,22.07%,Raised over $100k,D,Democrat,1326793,292761,22.07,Robert Garcia,100.0,auto,Robert,Garcia,Robert Garcia,Democrat,rep,CA,G000598,RepRobertGarcia
TillisThom Tillis (R),$25523707,$5578136,21.85%,Raised over $100k,R,Republican,25523707,5578136,21.85,Thom Tillis,100.0,auto,Thom,Tillis,Thom Tillis,Republican,sen,NC,T000476,SenThomTillis
BluntLisa Blunt Rochester (D),$9889594,$2160238,21.84%,Raised over $100k,D,Democrat,9889594,2160238,21.84,Lisa Blunt Rochester,100.0,manual,,,Lisa Blunt Rochester,Democrat,sen,DE,B001303,SenLBR
TubervilleTommy Tuberville (R),$11684053,$2464217,21.09%,Raised over $100k,R,Republican,11684053,2464217,21.09,Tommy Tuberville,100.0,auto,Tommy,Tuberville,Tommy Tuberville,Republican,sen,AL,T000278,SenTuberville
McClainLisa McClain (R),$1029112,$215130,20.90%,Raised over $100k,R,Republican,1029112,215130,20.9,Lisa McClain,88.9,auto,Lisa,McClain,Lisa C. McClain,Republican,rep,MI,M001136,RepLisaMcClain
SpanbergerAbigail Spanberger (D),$1723491,$359003,20.83%,Raised over $100k,D,Democrat,1723491,359003,20.83,Abigail Davis Spanberger,100.0,manual,,,Abigail Davis Spanberger,Democrat,rep,VA,S001209,
CornynJohn Cornyn (R),$34095780,$6935021,20.34%,Raised over $100k,R,Republican,34095780,6935021,20.34,John Cornyn,100.0,auto,John,Cornyn,John Cornyn,Republican,sen,TX,C001056,JohnCornyn
LeeSummer Lee (D),$2923335,$587574,20.10%,Raised over $100k,D,Democrat,2923335,587574,20.1,Summer Lee,87.0,auto,Summer,Lee,Summer L. Lee,Democrat,rep,PA,L000602,RepSummerLee
SantosGeorge Santos (R),$48129,$9531,19.80%,Raised less than $100k,R,Republican,48129,9531,19.8,Greg Stanton,100.0,manual,,,Greg Stanton,Democrat,rep,AZ,S001211,RepGregStanton
GoodBob Good (R),$1328803,$262684,19.77%,Raised over $100k,R,Republican,1328803,262684,19.77,Bob Good,100.0,manual,,,Bob Good,Republican,rep,VA,G000595,
TenneyClaudia Tenney (R),$2993079,$589942,19.71%,Raised over $100k,R,Republican,2993079,589942,19.71,Claudia Tenney,100.0,auto,Claudia,Tenney,Claudia Tenney,Republican,rep,NY,T000478,RepTenney
OwensBurgess Owens (R),$1449406,$285518,19.70%,Raised over $100k,R,Republican,1449406,285518,19.7,Burgess Owens,100.0,auto,Clarence,Owens,Burgess Owens,Republican,rep,UT,O000086,RepBurgessOwens
WextonJennifer Wexton (D),$480029,$94333,19.65%,Raised over $100k,D,Democrat,480029,94333,19.65,Jennifer Wexton,100.0,manual,,,Jennifer Wexton,Democrat,rep,VA,W000825,
HironoMazie K Hirono (D),$4838111,$943649,19.50%,Raised over $100k,D,Democrat,4838111,943649,19.5,Mazie K Hirono,96.6,auto,Mazie,Hirono,Mazie K. Hirono,Democrat,sen,HI,H001042,MazieHirono
MassieThomas Massie (R),$1323139,$257098,19.43%,Raised over $100k,R,Republican,1323139,257098,19.43,Thomas Massie,100.0,auto,Thomas,Massie,Thomas Massie,Republican,rep,KY,M001184,RepThomasMassie
DuncanJeff Duncan (R),$784969,$146993,18.73%,Raised over $100k,R,Republican,784969,146993,18.73,Jeff Duncan,100.0,manual,,,Jeff Duncan,Republican,rep,SC,D000615,
WagnerAnn Wagner (R),$4213631,$770676,18.29%,Raised over $100k,R,Republican,4213631,770676,18.29,Ann Wagner,100.0,auto,Ann,Wagner,Ann Wagner,Republican,rep,MO,W000812,RepAnnWagner
BanksJim Banks (R),$7151159,$1305346,18.25%,Raised over $100k,R,Republican,7151159,1305346,18.25,Jim Banks,100.0,auto,Jim,Banks,Jim Banks,Republican,sen,IN,B001299,RepJimBanks
Hyde-SmithCindy Hyde-Smith (R),$4995726,$908448,18.18%,Raised over $100k,R,Republican,4995726,908448,18.18,Cindy Hyde-Smith,100.0,auto,Cindy,Hyde-Smith,Cindy Hyde-Smith,Republican,sen,MS,H001079,SenHydeSmith
RoseJohn Rose (R),$1106670,$197747,17.87%,Raised over $100k,R,Republican,1106670,197747,17.87,John Rose,85.7,auto,John,Rose,John W. Rose,Republican,rep,TN,R000612,RepJohnRose
PocanMark Pocan (D),$1064083,$189287,17.79%,Raised over $100k,D,Democrat,1064083,189287,17.79,Mark Pocan,100.0,auto,Mark,Pocan,Mark Pocan,Democrat,rep,WI,P000607,RepMarkPocan
CollinsSusan Collins (R),$29778726,$5276897,17.72%,Raised over $100k,R,Republican,29778726,5276897,17.72,Susan Collins,89.7,auto,Susan,Collins,Susan M. Collins,Republican,sen,ME,C001035,SenatorCollins
